Model,Brand,purchase_place,Year_of_manufacture,total_cars,percentage_by_model,percentage_by_place,percentage_of_total,avg_mileage
Nexon,Honda,Koramangala,1985,1,0.02,0.02,0.00,369968.00
Seltos,Honda,Koramangala,1985,1,0.02,0.02,0.00,221674.00
Harrier,Honda,Malleswaram,1985,1,0.02,0.02,0.00,136426.00
Seltos,Honda,Malleswaram,1985,1,0.02,0.02,0.00,385975.00
Thar,Honda,Malleswaram,1985,1,0.02,0.02,0.00,108429.00
Thar,Honda,Malleswaram,1985,1,0.02,0.02,0.00,227171.00
Baleno,Honda,Rajajinagar,1985,1,0.02,0.02,0.00,273205.00
City,Honda,Rajajinagar,1985,1,0.02,0.02,0.00,345982.00
Creta,Honda,Rajajinagar,1985,1,0.02,0.02,0.00,325816.00
Harrier,Honda,Rajajinagar,1985,2,0.03,0.03,0.00,254552.00
Seltos,Honda,Rajajinagar,1985,1,0.02,0.02,0.00,257404.00
Baleno,Honda,Whitefield,1985,1,0.02,0.02,0.00,348153.00
Baleno,Honda,Whitefield,1985,1,0.02,0.02,0.00,224896.00
Creta,Honda,Whitefield,1985,1,0.02,0.02,0.00,247322.00
Harrier,Honda,Whitefield,1985,1,0.02,0.02,0.00,307823.00
Harrier,Honda,Whitefield,1985,1,0.02,0.02,0.00,275502.00
i20,Honda,Whitefield,1985,1,0.02,0.02,0.00,241796.00
Innova,Honda,Whitefield,1985,1,0.02,0.02,0.00,236470.00
Innova,Honda,Whitefield,1985,1,0.02,0.02,0.00,122380.00
Seltos,Honda,Whitefield,1985,1,0.02,0.02,0.00,76773.00
Seltos,Honda,Whitefield,1985,1,0.02,0.02,0.00,261109.00
Seltos,Honda,Whitefield,1985,1,0.02,0.02,0.00,184476.00
City,Honda,Yelahanka,1985,1,0.02,0.02,0.00,333071.00
Harrier,Honda,Yelahanka,1985,1,0.02,0.02,0.00,159087.00
i20,Honda,Yelahanka,1985,3,0.05,0.05,0.00,179526.00
Seltos,Honda,Yelahanka,1985,1,0.02,0.02,0.00,65743.00
Thar,Honda,Yelahanka,1985,1,0.02,0.02,0.00,89712.00
Thar,Honda,Yelahanka,1985,1,0.02,0.02,0.00,241339.00
City,Hyundai,Basavanagudi,1985,3,0.05,0.05,0.00,292213.00
i20,Hyundai,Basavanagudi,1985,3,0.05,0.05,0.00,49418.00
Innova,Hyundai,Basavanagudi,1985,1,0.02,0.02,0.00,281872.00
Seltos,Hyundai,Basavanagudi,1985,1,0.02,0.02,0.00,139333.00
Seltos,Hyundai,Basavanagudi,1985,1,0.02,0.02,0.00,213850.00
Seltos,Hyundai,Hebbal,1985,1,0.02,0.02,0.00,285107.00
Swift,Hyundai,Hebbal,1985,5,0.08,0.08,0.01,233695.00
Thar,Hyundai,Hebbal,1985,1,0.02,0.02,0.00,208882.00
Harrier,Hyundai,"HSR Layout",1985,1,0.02,0.02,0.00,254129.00
Seltos,Hyundai,"HSR Layout",1985,1,0.02,0.02,0.00,373208.00
Seltos,Hyundai,"HSR Layout",1985,1,0.02,0.02,0.00,163636.00
Swift,Hyundai,"HSR Layout",1985,1,0.02,0.02,0.00,170625.00
Thar,Hyundai,"HSR Layout",1985,3,0.05,0.05,0.00,305994.00
Creta,Hyundai,Indiranagar,1985,1,0.02,0.02,0.00,185701.00
i20,Hyundai,Indiranagar,1985,1,0.02,0.02,0.00,82024.00
Nexon,Hyundai,Indiranagar,1985,4,0.06,0.06,0.01,221679.50
Nexon,Hyundai,Indiranagar,1985,1,0.02,0.02,0.00,200523.00
Creta,Hyundai,Jayanagar,1985,2,0.03,0.03,0.00,188143.00
Baleno,Hyundai,Koramangala,1985,1,0.02,0.02,0.00,325163.00
Harrier,Hyundai,Koramangala,1985,3,0.05,0.05,0.00,149258.00
i20,Hyundai,Koramangala,1985,1,0.02,0.02,0.00,250158.00
Nexon,Hyundai,Koramangala,1985,1,0.02,0.02,0.00,244814.00
Baleno,Hyundai,Malleswaram,1985,1,0.02,0.02,0.00,244568.00
Innova,Hyundai,Malleswaram,1985,3,0.05,0.05,0.00,132222.00
Nexon,Hyundai,Malleswaram,1985,3,0.05,0.05,0.00,192455.00
Creta,Hyundai,Rajajinagar,1985,1,0.02,0.02,0.00,186831.00
Creta,Hyundai,Rajajinagar,1985,1,0.02,0.02,0.00,235333.00
Harrier,Hyundai,Rajajinagar,1985,1,0.02,0.02,0.00,212303.00
Thar,Hyundai,Rajajinagar,1985,1,0.02,0.02,0.00,265756.00
City,Hyundai,Whitefield,1985,2,0.03,0.03,0.00,281232.00
Harrier,Hyundai,Whitefield,1985,1,0.02,0.02,0.00,224540.00
Harrier,Hyundai,Whitefield,1985,1,0.02,0.02,0.00,219341.00
Nexon,Hyundai,Whitefield,1985,1,0.02,0.02,0.00,164963.00
Swift,Hyundai,Whitefield,1985,1,0.02,0.02,0.00,242470.00
Baleno,Hyundai,Yelahanka,1985,1,0.02,0.02,0.00,56253.00
City,Hyundai,Yelahanka,1985,1,0.02,0.02,0.00,175744.00
Creta,Hyundai,Yelahanka,1985,3,0.05,0.05,0.00,58798.00
Creta,Hyundai,Yelahanka,1985,3,0.05,0.05,0.00,131822.00
Harrier,Hyundai,Yelahanka,1985,1,0.02,0.02,0.00,192152.00
Seltos,Hyundai,Yelahanka,1985,2,0.03,0.03,0.00,218025.00
City,Kia,Basavanagudi,1985,1,0.02,0.02,0.00,161159.00
Creta,Kia,Basavanagudi,1985,3,0.05,0.05,0.00,288486.00
Swift,Kia,Basavanagudi,1985,1,0.02,0.02,0.00,314912.00
Thar,Kia,Basavanagudi,1985,1,0.02,0.02,0.00,170844.00
Baleno,Kia,Hebbal,1985,1,0.02,0.02,0.00,314827.00
Harrier,Kia,Hebbal,1985,1,0.02,0.02,0.00,104913.00
i20,Kia,Hebbal,1985,4,0.06,0.06,0.01,226892.75
Seltos,Kia,Hebbal,1985,4,0.06,0.06,0.01,244023.75
Swift,Kia,Hebbal,1985,1,0.02,0.02,0.00,251862.00
Thar,Kia,Hebbal,1985,1,0.02,0.02,0.00,226587.00
Baleno,Kia,"HSR Layout",1985,1,0.02,0.02,0.00,276775.00
Baleno,Kia,"HSR Layout",1985,1,0.02,0.02,0.00,212778.00
City,Kia,"HSR Layout",1985,1,0.02,0.02,0.00,200249.00
Harrier,Kia,"HSR Layout",1985,4,0.06,0.06,0.01,148276.75
Harrier,Kia,"HSR Layout",1985,3,0.05,0.05,0.00,204731.00
Innova,Kia,"HSR Layout",1985,1,0.02,0.02,0.00,358616.00
Nexon,Kia,"HSR Layout",1985,1,0.02,0.02,0.00,268174.00
Swift,Kia,"HSR Layout",1985,3,0.05,0.05,0.00,308779.00
City,Kia,Indiranagar,1985,1,0.02,0.02,0.00,347859.00
i20,Kia,Indiranagar,1985,1,0.02,0.02,0.00,199715.00
Innova,Kia,Indiranagar,1985,1,0.02,0.02,0.00,249947.00
Nexon,Kia,Indiranagar,1985,1,0.02,0.02,0.00,288234.00
Nexon,Kia,Indiranagar,1985,1,0.02,0.02,0.00,267170.00
Seltos,Kia,Indiranagar,1985,1,0.02,0.02,0.00,318591.00
Creta,Kia,Jayanagar,1985,3,0.05,0.05,0.00,285951.00
Creta,Kia,Jayanagar,1985,3,0.05,0.05,0.00,232121.00
Creta,Kia,Koramangala,1985,1,0.02,0.02,0.00,298171.00
Harrier,Kia,Koramangala,1985,1,0.02,0.02,0.00,80478.00
Innova,Kia,Koramangala,1985,1,0.02,0.02,0.00,165540.00
Seltos,Kia,Koramangala,1985,1,0.02,0.02,0.00,168540.00
Swift,Kia,Koramangala,1985,1,0.02,0.02,0.00,73642.00
Baleno,Kia,Malleswaram,1985,1,0.02,0.02,0.00,260653.00
i20,Kia,Malleswaram,1985,1,0.02,0.02,0.00,203894.00
i20,Kia,Malleswaram,1985,1,0.02,0.02,0.00,157184.00
Nexon,Kia,Malleswaram,1985,3,0.05,0.05,0.00,232092.00
Seltos,Kia,Malleswaram,1985,1,0.02,0.02,0.00,228612.00
City,Kia,Rajajinagar,1985,1,0.02,0.02,0.00,287756.00
Creta,Kia,Rajajinagar,1985,3,0.05,0.05,0.00,296935.00
City,Kia,Whitefield,1985,1,0.02,0.02,0.00,245782.00
Swift,Kia,Whitefield,1985,3,0.05,0.05,0.00,94261.00
Thar,Kia,Whitefield,1985,1,0.02,0.02,0.00,148609.00
Thar,Kia,Whitefield,1985,1,0.02,0.02,0.00,180232.00
Baleno,Kia,Yelahanka,1985,1,0.02,0.02,0.00,139639.00
Harrier,Kia,Yelahanka,1985,1,0.02,0.02,0.00,257236.00
Harrier,Kia,Yelahanka,1985,1,0.02,0.02,0.00,220856.00
i20,Kia,Yelahanka,1985,1,0.02,0.02,0.00,158808.00
i20,Kia,Yelahanka,1985,1,0.02,0.02,0.00,327262.00
Seltos,Kia,Yelahanka,1985,1,0.02,0.02,0.00,270923.00
Thar,Kia,Yelahanka,1985,3,0.05,0.05,0.00,269090.00
Thar,Kia,Yelahanka,1985,1,0.02,0.02,0.00,313881.00
City,Mahindra,Basavanagudi,1985,1,0.02,0.02,0.00,281480.00
Harrier,Mahindra,Basavanagudi,1985,1,0.02,0.02,0.00,262790.00
i20,Mahindra,Basavanagudi,1985,1,0.02,0.02,0.00,270929.00
Thar,Mahindra,Basavanagudi,1985,1,0.02,0.02,0.00,91038.00
Innova,Mahindra,Hebbal,1985,1,0.02,0.02,0.00,203738.00
Innova,Mahindra,Hebbal,1985,1,0.02,0.02,0.00,294257.00
Nexon,Mahindra,Hebbal,1985,1,0.02,0.02,0.00,230327.00
Seltos,Mahindra,Hebbal,1985,1,0.02,0.02,0.00,291582.00
Thar,Mahindra,Hebbal,1985,1,0.02,0.02,0.00,356844.00
City,Mahindra,"HSR Layout",1985,1,0.02,0.02,0.00,134420.00
Nexon,Mahindra,"HSR Layout",1985,1,0.02,0.02,0.00,325733.00
Nexon,Mahindra,"HSR Layout",1985,1,0.02,0.02,0.00,134604.00
Seltos,Mahindra,"HSR Layout",1985,1,0.02,0.02,0.00,217042.00
Baleno,Mahindra,Indiranagar,1985,1,0.02,0.02,0.00,263058.00
Baleno,Mahindra,Indiranagar,1985,3,0.05,0.05,0.00,293380.00
Nexon,Mahindra,Indiranagar,1985,1,0.02,0.02,0.00,208135.00
Nexon,Mahindra,Indiranagar,1985,1,0.02,0.02,0.00,203839.00
Seltos,Mahindra,Indiranagar,1985,1,0.02,0.02,0.00,375388.00
Swift,Mahindra,Indiranagar,1985,1,0.02,0.02,0.00,320312.00
Harrier,Mahindra,Jayanagar,1985,1,0.02,0.02,0.00,158582.00
Seltos,Mahindra,Jayanagar,1985,1,0.02,0.02,0.00,203174.00
Baleno,Mahindra,Koramangala,1985,1,0.02,0.02,0.00,234612.00
Creta,Mahindra,Malleswaram,1985,1,0.02,0.02,0.00,139412.00
Innova,Mahindra,Malleswaram,1985,1,0.02,0.02,0.00,158168.00
Nexon,Mahindra,Malleswaram,1985,1,0.02,0.02,0.00,239410.00
Thar,Mahindra,Malleswaram,1985,1,0.02,0.02,0.00,365231.00
Baleno,Mahindra,Rajajinagar,1985,1,0.02,0.02,0.00,293331.00
Harrier,Mahindra,Rajajinagar,1985,1,0.02,0.02,0.00,200825.00
Innova,Mahindra,Rajajinagar,1985,1,0.02,0.02,0.00,291955.00
Nexon,Mahindra,Rajajinagar,1985,2,0.03,0.03,0.00,229387.00
Baleno,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,236001.00
City,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,265191.00
City,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,119730.00
Seltos,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,258420.00
Swift,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,271101.00
Swift,Mahindra,Whitefield,1985,1,0.02,0.02,0.00,220785.00
Harrier,Mahindra,Yelahanka,1985,1,0.02,0.02,0.00,242796.00
i20,Mahindra,Yelahanka,1985,1,0.02,0.02,0.00,196545.00
Swift,Mahindra,Yelahanka,1985,1,0.02,0.02,0.00,306527.00
Baleno,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,259005.00
Harrier,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,310757.00
Innova,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,241828.00
Nexon,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,183051.00
Seltos,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,234015.00
Swift,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,297691.00
Thar,Maruti,Basavanagudi,1985,1,0.02,0.02,0.00,265877.00
Baleno,Maruti,Hebbal,1985,1,0.02,0.02,0.00,268020.00
Innova,Maruti,Hebbal,1985,1,0.02,0.02,0.00,240128.00
Nexon,Maruti,Hebbal,1985,3,0.05,0.05,0.00,194528.00
Swift,Maruti,Hebbal,1985,1,0.02,0.02,0.00,221057.00
Thar,Maruti,Hebbal,1985,1,0.02,0.02,0.00,158361.00
Thar,Maruti,Hebbal,1985,1,0.02,0.02,0.00,197736.00
City,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,181056.00
Creta,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,288203.00
Innova,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,292180.00
Seltos,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,218011.00
Swift,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,148532.00
Swift,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,343144.00
Thar,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,176281.00
Thar,Maruti,"HSR Layout",1985,1,0.02,0.02,0.00,238889.00
Baleno,Maruti,Indiranagar,1985,1,0.02,0.02,0.00,94813.00
City,Maruti,Indiranagar,1985,1,0.02,0.02,0.00,189845.00
Creta,Maruti,Indiranagar,1985,3,0.05,0.05,0.00,315674.00
i20,Maruti,Indiranagar,1985,1,0.02,0.02,0.00,307280.00
Swift,Maruti,Indiranagar,1985,1,0.02,0.02,0.00,71982.00
Swift,Maruti,Indiranagar,1985,1,0.02,0.02,0.00,266280.00
Baleno,Maruti,Jayanagar,1985,1,0.02,0.02,0.00,240046.00
Swift,Maruti,Jayanagar,1985,1,0.02,0.02,0.00,215079.00
Creta,Maruti,Koramangala,1985,1,0.02,0.02,0.00,326660.00
Creta,Maruti,Malleswaram,1985,1,0.02,0.02,0.00,260134.00
Innova,Maruti,Malleswaram,1985,1,0.02,0.02,0.00,304167.00
Seltos,Maruti,Malleswaram,1985,1,0.02,0.02,0.00,120626.00
Thar,Maruti,Malleswaram,1985,1,0.02,0.02,0.00,219080.00
Baleno,Maruti,Rajajinagar,1985,1,0.02,0.02,0.00,206680.00
